 INFO  Accepting connections at http://localhost:3000
 HTTP  3/21/2026 6:22:17 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 6:33:47 PM ::1 GET /
 HTTP  3/21/2026 6:33:47 PM ::1 Returned 200 in 4 ms
 HTTP  3/21/2026 6:33:47 PM ::1 GET /styles.css
 HTTP  3/21/2026 6:33:47 PM ::1 GET /app.js?v=9
 HTTP  3/21/2026 6:33:47 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 6:33:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/21/2026 6:34:21 PM ::1 GET /
 HTTP  3/21/2026 6:34:21 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 6:34:21 PM ::1 GET /styles.css
 HTTP  3/21/2026 6:34:21 PM ::1 GET /app.js?v=9
 HTTP  3/21/2026 6:34:21 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 6:34:21 PM ::1 Returned 304 in 1 ms

 INFO  Gracefully shutting down. Please wait...
